Type,Start Date,End Date,Geometry
ROAD_CLOSURE,2020-08-03T01:17:15,2020-08-03T06:16:01,"LINESTRING (103.62953 1.35335, 103.62929 1.35353)"
ROAD_CLOSURE,2020-08-03T01:17:15,2020-08-03T06:16:01,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
ROAD_CLOSURE,2020-08-03T01:17:15,2020-08-03T06:16:01,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
ROAD_CLOSURE,2020-08-03T01:17:15,2020-08-03T06:16:01,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
ROAD_CLOSURE,2020-08-03T01:17:15,2020-08-03T06:16:01,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
ROAD_CLOSURE,2020-08-03T02:17:15,2020-08-03T07:16:01,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
ROAD_CLOSURE,2020-08-03T02:17:15,2020-08-03T07:16:01,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
ROAD_CLOSURE,2020-08-03T02:17:15,2020-08-03T07:16:01,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
ROAD_CLOSURE,2020-08-03T02:17:15,2020-08-03T07:16:01,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
ROAD_CLOSURE,2020-08-03T01:56:58,2020-08-03T06:56:05,"LINESTRING (103.63434 1.34992, 103.63449 1.3498)"
ROAD_CLOSURE,2020-08-03T01:56:58,2020-08-03T06:56:05,"LINESTRING (103.62935 1.35365, 103.62959 1.35347)"
ROAD_CLOSURE,2020-08-03T01:56:58,2020-08-03T06:56:05,"LINESTRING (103.63411 1.35009, 103.63434 1.34992)"
ROAD_CLOSURE,2020-08-03T01:56:58,2020-08-03T06:56:05,"LINESTRING (103.63471 1.3496, 103.63485 1.34946, 103.63491 1.34943, 103.63531 1.3493)"
ROAD_CLOSURE,2020-08-03T00:56:59,2020-08-03T05:56:05,"LINESTRING (103.62935 1.35365, 103.62959 1.35347)"
ROAD_CLOSURE,2020-08-03T00:56:58,2020-08-03T05:56:05,"LINESTRING (103.63434 1.34992, 103.63449 1.3498)"
ROAD_CLOSURE,2020-08-03T00:56:58,2020-08-03T05:56:05,"LINESTRING (103.63411 1.35009, 103.63434 1.34992)"
ROAD_CLOSURE,2020-08-03T00:56:58,2020-08-03T05:56:05,"LINESTRING (103.63471 1.3496, 103.63485 1.34946, 103.63491 1.34943, 103.63531 1.3493)"
ROAD_CLOSURE,2020-08-03T02:17:15,2020-08-03T07:16:01,"LINESTRING (103.62953 1.35335, 103.62929 1.35353)"
ROAD_CLOSURE,2020-08-03T05:56:58,2020-08-03T10:56:05,"LINESTRING (103.63471 1.3496, 103.63485 1.34946, 103.63491 1.34943, 103.63531 1.3493)"
ROAD_CLOSURE,2020-08-03T05:56:59,2020-08-03T10:56:05,"LINESTRING (103.62935 1.35365, 103.62959 1.35347)"
ROAD_CLOSURE,2020-08-03T05:56:58,2020-08-03T10:56:05,"LINESTRING (103.63434 1.34992, 103.63449 1.3498)"
ROAD_CLOSURE,2020-08-03T05:56:17,2020-08-03T10:55:50,"LINESTRING (103.62953 1.35335, 103.62929 1.35353)"
ROAD_CLOSURE,2020-08-03T05:56:58,2020-08-03T10:56:05,"LINESTRING (103.63411 1.35009, 103.63434 1.34992)"
ROAD_CLOSURE,2020-08-03T06:08:16,2020-08-03T11:06:50,"LINESTRING (101.61385 3.02326, 101.61387 3.02342, 101.61389 3.02356, 101.61392 3.02371)"
ROAD_CLOSURE,2020-08-03T12:16:32,2020-08-03T17:15:52,"LINESTRING (103.62953 1.35335, 103.62929 1.35353)"
ROAD_CLOSURE,2020-08-03T11:56:58,2020-08-03T16:56:05,"LINESTRING (103.62935 1.35365, 103.62959 1.35347)"
ROAD_CLOSURE,2020-08-03T11:56:58,2020-08-03T16:56:05,"LINESTRING (103.63471 1.3496, 103.63485 1.34946, 103.63491 1.34943, 103.63531 1.3493)"
ROAD_CLOSURE,2020-08-03T11:56:58,2020-08-03T16:56:05,"LINESTRING (103.63434 1.34992, 103.63449 1.3498)"
ROAD_CLOSURE,2020-08-03T11:56:58,2020-08-03T16:56:05,"LINESTRING (103.63411 1.35009, 103.63434 1.34992)"
CONSTRUCTION,2020-08-03T14:00:46,2020-08-03T22:00:00,"LINESTRING (101.63083 3.21296, 101.63076 3.21277, 101.63071 3.21259, 101.63069 3.21251, 101.63067 3.21242, 101.63066 3.21234)"
CONSTRUCTION,2020-08-03T14:00:46,2020-08-03T22:00:00,"LINESTRING (101.65855 3.20915, 101.6587 3.20942)"
ROAD_CLOSURE,2020-08-03T14:00:46,2020-08-17T15:00:00,"LINESTRING (101.61314 3.16334, 101.6133 3.16335, 101.61378 3.1636, 101.61393 3.16365, 101.6141 3.16372, 101.61425 3.1638, 101.61441 3.16394)"
CONSTRUCTION,2020-08-03T14:00:46,2020-08-03T22:00:00,"LINESTRING (101.63025 3.21183, 101.63035 3.21192, 101.6304 3.21196, 101.63045 3.21197, 101.6305 3.21198, 101.63064 3.21197)"
ROAD_CLOSURE,2020-08-03T14:00:46,2020-08-03T22:00:00,"LINESTRING (101.60228 3.1992, 101.60283 3.19917, 101.60318 3.19911, 101.60353 3.19904, 101.6039 3.19896, 101.60423 3.19889, 101.60463 3.19881, 101.60499 3.19875, 101.60521 3.19872, 101.60537 3.19868, 101.60544 3.19863)"
CONSTRUCTION,2020-08-03T14:00:46,2020-08-03T22:00:00,"LINESTRING (101.63066 3.21046, 101.63063 3.21053, 101.63061 3.21061, 101.6306 3.21068)"
CONSTRUCTION,2020-08-03T14:00:46,2020-08-03T22:00:00,"LINESTRING (101.63083 3.21296, 101.6308 3.2127, 101.6308 3.21261, 101.63081 3.21255, 101.63084 3.21248, 101.63088 3.21243, 101.63093 3.21239, 101.63098 3.21236, 101.63106 3.21234, 101.63113 3.21234, 101.6313 3.21235)"
ROAD_CLOSURE,2020-08-03T13:16:31,2020-08-03T18:15:52,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
ROAD_CLOSURE,2020-08-03T13:16:31,2020-08-03T18:15:52,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
ROAD_CLOSURE,2020-08-03T13:16:31,2020-08-03T18:15:52,"LINESTRING (103.62953 1.35335, 103.62929 1.35353)"
ROAD_CLOSURE,2020-08-03T13:16:31,2020-08-03T18:15:52,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
ROAD_CLOSURE,2020-08-03T13:56:58,2020-08-03T18:56:05,"LINESTRING (103.63434 1.34992, 103.63449 1.3498)"
ROAD_CLOSURE,2020-08-03T13:56:58,2020-08-03T18:56:05,"LINESTRING (103.62935 1.35365, 103.62959 1.35347)"
ROAD_CLOSURE,2020-08-03T13:56:58,2020-08-03T18:56:05,"LINESTRING (103.63411 1.35009, 103.63434 1.34992)"
ROAD_CLOSURE,2020-08-03T13:56:58,2020-08-03T18:56:05,"LINESTRING (103.63471 1.3496, 103.63485 1.34946, 103.63491 1.34943, 103.63531 1.3493)"
ROAD_CLOSURE,2020-08-03T12:56:58,2020-08-03T17:56:05,"LINESTRING (103.62935 1.35365, 103.62959 1.35347)"
ROAD_CLOSURE,2020-08-03T12:56:58,2020-08-03T17:56:05,"LINESTRING (103.63471 1.3496, 103.63485 1.34946, 103.63491 1.34943, 103.63531 1.3493)"
ROAD_CLOSURE,2020-08-03T12:56:58,2020-08-03T17:56:05,"LINESTRING (103.63434 1.34992, 103.63449 1.3498)"
ROAD_CLOSURE,2020-08-03T12:56:58,2020-08-03T17:56:05,"LINESTRING (103.63411 1.35009, 103.63434 1.34992)"
ROAD_CLOSURE,2020-08-03T13:16:31,2020-08-03T18:15:52,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
ROAD_CLOSURE,2020-08-03T23:11:14,2020-08-04T04:10:59,"LINESTRING (103.62953 1.35335, 103.62929 1.35353)"
ROAD_CLOSURE,2020-08-03T23:11:14,2020-08-04T04:10:59,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
ROAD_CLOSURE,2020-08-03T23:11:14,2020-08-04T04:10:59,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
ROAD_CLOSURE,2020-08-03T23:11:14,2020-08-04T04:10:59,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
ROAD_CLOSURE,2020-08-03T23:11:14,2020-08-04T04:10:59,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
ROAD_CLOSURE,2020-08-04T00:11:15,2020-08-04T05:10:59,"LINESTRING (103.62953 1.35335, 103.62929 1.35353)"
ROAD_CLOSURE,2020-08-04T00:11:15,2020-08-04T05:10:59,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
ROAD_CLOSURE,2020-08-04T00:11:15,2020-08-04T05:10:59,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
ROAD_CLOSURE,2020-08-04T00:11:15,2020-08-04T05:10:59,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
ROAD_CLOSURE,2020-08-04T00:11:15,2020-08-04T05:10:59,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
ROAD_CLOSURE,2020-08-03T22:57:44,2020-08-04T03:56:05,"LINESTRING (103.63434 1.34992, 103.63449 1.3498)"
ROAD_CLOSURE,2020-08-03T22:57:44,2020-08-04T03:56:05,"LINESTRING (103.62935 1.35365, 103.62959 1.35347)"
ROAD_CLOSURE,2020-08-03T22:57:44,2020-08-04T03:56:05,"LINESTRING (103.63471 1.3496, 103.63485 1.34946, 103.63491 1.34943, 103.63531 1.3493)"
ROAD_CLOSURE,2020-08-03T22:57:44,2020-08-04T03:56:05,"LINESTRING (103.63411 1.35009, 103.63434 1.34992)"
ROAD_CLOSURE,2020-08-03T23:57:45,2020-08-04T04:56:05,"LINESTRING (103.63434 1.34992, 103.63449 1.3498)"
ROAD_CLOSURE,2020-08-03T23:57:45,2020-08-04T04:56:05,"LINESTRING (103.63411 1.35009, 103.63434 1.34992)"
ROAD_CLOSURE,2020-08-03T23:57:45,2020-08-04T04:56:05,"LINESTRING (103.62935 1.35365, 103.62959 1.35347)"
ROAD_CLOSURE,2020-08-03T23:57:45,2020-08-04T04:56:05,"LINESTRING (103.63471 1.3496, 103.63485 1.34946, 103.63491 1.34943, 103.63531 1.3493)"
ROAD_CLOSURE,2020-08-04T01:11:15,2020-08-04T06:10:59,"LINESTRING (103.62953 1.35335, 103.62929 1.35353)"
ROAD_CLOSURE,2020-08-04T01:11:15,2020-08-04T06:10:59,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
ROAD_CLOSURE,2020-08-04T01:11:15,2020-08-04T06:10:59,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
ROAD_CLOSURE,2020-08-04T01:11:15,2020-08-04T06:10:59,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
ROAD_CLOSURE,2020-08-04T01:11:15,2020-08-04T06:10:59,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
ROAD_CLOSURE,2020-08-04T00:57:45,2020-08-04T05:56:05,"LINESTRING (103.63434 1.34992, 103.63449 1.3498)"
ROAD_CLOSURE,2020-08-04T00:57:45,2020-08-04T05:56:05,"LINESTRING (103.63411 1.35009, 103.63434 1.34992)"
ROAD_CLOSURE,2020-08-04T00:57:45,2020-08-04T05:56:05,"LINESTRING (103.62935 1.35365, 103.62959 1.35347)"
ROAD_CLOSURE,2020-08-04T00:57:45,2020-08-04T05:56:05,"LINESTRING (103.63471 1.3496, 103.63485 1.34946, 103.63491 1.34943, 103.63531 1.3493)"
ROAD_CLOSURE,2020-08-03T00:17:15,2020-08-03T05:16:01,"LINESTRING (103.62953 1.35335, 103.62929 1.35353)"
ROAD_CLOSURE,2020-08-03T00:17:15,2020-08-03T05:16:01,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
ROAD_CLOSURE,2020-08-03T00:17:15,2020-08-03T05:16:01,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
